Tracker ID,Unit,Plant,Wiki page,Sponsor,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Parent
G101595,Çırpılar power station,Çırpılar power station,http://bit.ly/1wr17KP,Taşzemin İnşaat,200,Pre-Permit,non-EU Europe,Turkey,Çanakkale,39.816777,27.339752,Taşyapı Group
G102686,Evrese power station,Evrese power station,http://bit.ly/1GlwsVu,Akkan Enerji A.Ş.,135,Cancelled,non-EU Europe,Turkey,Çanakkale,40.416667,26.666667,Akkan Enerji A.Ş.
G103486,Güreci power station,Güreci power station,http://bit.ly/1AOMxka,Atlas Enerji Üretim A.Ş.,1320,Shelved,non-EU Europe,Turkey,Çanakkale,40.343889,26.683611,Diler Holding
G113856,Helvacı power station,Helvacı power station,http://bit.ly/2JHfbwO,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,270,Shelved,non-EU Europe,Turkey,Çanakkale,40.08,27.168,IC İÇTAŞ Enerji
G104822,İÇDAŞ Bekirli-1 power station Unit 1,İÇDAŞ Bekirli-1 power station,http://bit.ly/1Pf8onG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,135,Operating,non-EU Europe,Turkey,Çanakkale,40.39953,27.04973,IC İÇTAŞ Enerji
G104823,İÇDAŞ Bekirli-1 power station Unit 2,İÇDAŞ Bekirli-1 power station,http://bit.ly/1Pf8onG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,135,Operating,non-EU Europe,Turkey,Çanakkale,40.39953,27.04973,IC İÇTAŞ Enerji
G104824,İÇDAŞ Bekirli-1 power station Unit 3,İÇDAŞ Bekirli-1 power station,http://bit.ly/1Pf8onG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,135,Operating,non-EU Europe,Turkey,Çanakkale,40.39953,27.04973,IC İÇTAŞ Enerji
G104820,İÇDAŞ Bekirli-2 power station Unit 1,İÇDAŞ Bekirli-2 power station,http://bit.ly/1Pf8onG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,600,Operating,non-EU Europe,Turkey,Çanakkale,40.39953,27.04973,IC İÇTAŞ Enerji
G104821,İÇDAŞ Bekirli-2 power station Unit 2,İÇDAŞ Bekirli-2 power station,http://bit.ly/1Pf8onG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,600,Operating,non-EU Europe,Turkey,Çanakkale,40.39953,27.04973,IC İÇTAŞ Enerji
G104903,Irmak power station,Irmak power station,http://bit.ly/1FvbsWu,Bıçakcılar Çandarlı Elektrik Üretim A.Ş.,1320,Pre-Permit,non-EU Europe,Turkey,Çanakkale,39.79,26.3325,Bıçakcılar Çandarlı Elektrik Üretim A.Ş.
G105558,Karaburun power station Unit 1,Karaburun power station,http://bit.ly/1mI07Lv,Sarıkaya Elektrik,660,Permitted,non-EU Europe,Turkey,Çanakkale,40.446,27.287,Yıldırım Group
G105559,Karaburun power station Unit 2,Karaburun power station,http://bit.ly/1mI07Lv,Sarıkaya Elektrik,660,Permitted,non-EU Europe,Turkey,Çanakkale,40.446,27.287,Yıldırım Group
G105774,Kirazlidere Thermal Power Plant-1,Kirazlıdere power complex,http://bit.ly/1kMJDlw,Filiz Enerji,660,Permitted,non-EU Europe,Turkey,Çanakkale,40.38227,26.99455,Yıldırım Group
G105775,Kirazlidere Thermal Power Plant-2,Kirazlıdere power complex,http://bit.ly/1kMJDlw,Filiz Enerji,660,Permitted,non-EU Europe,Turkey,Çanakkale,40.38227,26.99455,Yıldırım Group
G107210,Namal power station,Namal power station,http://bit.ly/1YsvviP,Namal Elektrik Üretim,1000,Pre-Permit,non-EU Europe,Turkey,Çanakkale,40.343889,26.683611,Namal Elektrik Üretim
G107288,Naren Karabiga power station Unit 1,Naren Karabiga power station,http://bit.ly/1EXKR2R,Naren Enerji Elektrik Üretim A.Ş.,980,Pre-Permit,non-EU Europe,Turkey,Çanakkale,40.4580657,27.2549938,Naren Enerji Elektrik Üretim A.Ş.
G107289,Naren Karabiga power station Unit 2,Naren Karabiga power station,http://bit.ly/1EXKR2R,Naren Enerji Elektrik Üretim A.Ş.,980,Pre-Permit,non-EU Europe,Turkey,Çanakkale,40.4580657,27.2549938,Naren Enerji Elektrik Üretim A.Ş.
G108941,Şevketiye Lapseki power station,Şevketiye Lapseki power station,http://bit.ly/1kpkn52,Kaptan Demir Çelik Endüstrisi,1320,Shelved,non-EU Europe,Turkey,Çanakkale,40.395,26.792,Kaptan Şirketler Group
G101194,Çankırı Orta Bereket power station,Çankırı Bereket power station,http://bit.ly/2GN6Ged,Bereket Enerji,135,Permitted,non-EU Europe,Turkey,Cankiri,40.623886,33.112751,Çalık Holding
G101195,Çankırı Orta power station,Çankırı Orta power station,http://bit.ly/1gBARqR,Çalık Enerji,150,Pre-Permit,non-EU Europe,Turkey,Çankırı,40.623886,33.112751,Çalık Holding
G101196,Çankırı Yıldızlar power station Unit 1,Çankırı Yıldızlar power station,http://bit.ly/1pz49GB,3S Enerji ve Maden Üretim,133,Cancelled,non-EU Europe,Turkey,Çankırı,40.6078,33.3202,Yıldızlar SSS Holding
G101197,Çankırı Yıldızlar power station Unit 2,Çankırı Yıldızlar power station,http://bit.ly/1pz49GB,3S Enerji ve Maden Üretim,133,Cancelled,non-EU Europe,Turkey,Çankırı,40.6078,33.3202,Yıldızlar SSS Holding
G101198,Çankırı Yıldızlar power station Unit 3,Çankırı Yıldızlar power station,http://bit.ly/1pz49GB,3S Enerji ve Maden Üretim,133,Cancelled,non-EU Europe,Turkey,Çankırı,40.6078,33.3202,Yıldızlar SSS Holding
G113896,Yenidere power station Unit 1,Yenidere power station,http://bit.ly/2IX8KBk,Yenidere Termik Enerji,100,Pre-Permit,non-EU Europe,Turkey,Denizli,37.508627,28.6737408,Yenidere Termik Enerji
G113897,Yenidere power station Unit 2,Yenidere power station,http://bit.ly/2IX8KBk,Yenidere Termik Enerji,100,Pre-Permit,non-EU Europe,Turkey,Denizli,37.508627,28.6737408,Yenidere Termik Enerji
G111747,Zorlu Akçakoca power station,Zorlu Akçakoca power station,http://bit.ly/SVaIZu,Zorlu Enerji Elektrik Üretim,1220,Cancelled,non-EU Europe,Turkey,Düzce,41.087,31.12,Zorlu Group
G111423,Yıldırım Elazığ power station,Yıldırım Elazığ power station,http://bit.ly/1tU6xdq,Yıldırım Enerji Yatırımları,200,Pre-Permit,non-EU Europe,Turkey,Elazığ,38.662,39.772,Yıldırım Group
G102683,Alpu power station Unit 1,Alpu power station,http://bit.ly/2JhbNJ6,"EÜAŞ, Turkish Coal Enterprise",550,Pre-Permit,non-EU Europe,Turkey,Eskişehir,39.897,30.862,"EÜAŞ, Turkish Coal Enterprise"
G113501,Alpu power station Unit 2,Alpu power station,http://bit.ly/2JhbNJ6,"EÜAŞ, Turkish Coal Enterprise",550,Pre-Permit,non-EU Europe,Turkey,Eskişehir,39.897,30.862,"EÜAŞ, Turkish Coal Enterprise"
G111500,Yunus Emre power station Unit 1,Yunus Emre power station,http://bit.ly/1gEAc7S,Adularya Enerji,145,Construction,non-EU Europe,Turkey,Eskişehir,39.9843086,31.6356393,TMSF
G111501,Yunus Emre power station Unit 2,Yunus Emre power station,http://bit.ly/1gEAc7S,Adularya Enerji,145,Construction,non-EU Europe,Turkey,Eskişehir,39.9843086,31.6356393,TMSF
G100392,Atakaş power station,Atakaş power station,http://bit.ly/1k41XGF,Atakaş Elektrik Üretim,660,Shelved,non-EU Europe,Turkey,Hatay,36.6971,36.2042,Atakaş Group
G100401,Atlas Enerji power station Unit 1,Atlas Enerji power station,http://bit.ly/RCiQNd,Atlas Enerji Üretim A.Ş.,600,Operating,non-EU Europe,Turkey,Hatay,36.69028,36.20909,Diler Holding
G100401,Atlas Enerji power station Unit 2,Atlas Enerji power station,http://bit.ly/RCiQNd,Atlas Enerji Üretim A.Ş.,600,Operating,non-EU Europe,Turkey,Hatay,36.69028,36.20909,Diler Holding
G101119,Burnaz power station,Burnaz power station,http://bit.ly/1PSGCzl,EÜAŞ,300,Cancelled,non-EU Europe,Turkey,Hatay,36.4918592,36.1920918,Burnaz Elektrik Üretim A.Ş.
G103241,Güney Akdeniz power station Unit 1,Güney Akdeniz power station,http://bit.ly/1TgUbtc,Papatya Elektrik Üretim,660,Shelved,non-EU Europe,Turkey,Hatay,36.416667,35.883333,Papatya Elektrik Üretim
G103242,Güney Akdeniz power station Unit 2,Güney Akdeniz power station,http://bit.ly/1TgUbtc,Papatya Elektrik Üretim,660,Shelved,non-EU Europe,Turkey,Hatay,36.416667,35.883333,Papatya Elektrik Üretim
G106885,Mert power station,Mert power station,http://bit.ly/1MPjOw3,Egemer,1200,Shelved,non-EU Europe,Turkey,Hatay,36.953333,36.203333,Egemer
G108913,Selena power station,Selena power station,http://bit.ly/1gCovi4,Selena Elektrik Üretim A.Ş.,900,Shelved,non-EU Europe,Turkey,Hatay,36.9214725,36.0475297,Bendis Enerji
G110303,Tosyalı İskenderun power station,Tosyalı İskenderun power station,http://bit.ly/SUNvGI,Tosyalı Elektrik Üretim,1200,Shelved,non-EU Europe,Turkey,Hatay,36.6971,36.2042,Tosyalı Holding
G111356,Yeniyurt power station,Yeniyurt power station,http://bit.ly/1gEwKKK,Kamertan Madencilik ve Elektrik Üretim,300,Cancelled,non-EU Europe,Turkey,Hatay,36.886,36.151,Kamertan Madencilik ve Elektrik Üretim
G104917,İskenderun power station,İskenderun power station,http://bit.ly/1hfcKPm,Yıldırım Enerji Yatırımları and Shenhua Guohua Power,2000,Cancelled,non-EU Europe,Turkey,İskenderun,36.587,36.173,"National Energy Investment Group, Yıldırım Group"
G100125,Aliağa Enka power station,Aliağa Enka power station,http://bit.ly/1k3UDLg,Enka Enerji Üretim,800,Cancelled,non-EU Europe,Turkey,İzmir,38.746,26.912,ENKA
G102319,Deniz power station,Deniz power station,http://bit.ly/1Oquynb,Meles Elektrik Uretim A.Ş.,1320,Shelved,non-EU Europe,Turkey,İzmir,38.746,26.912,Limak Holding
G103523,Habaş power station,Habaş power station,http://bit.ly/1lS9FR8,Habaş Sanayi ve Tıbbi Gazlar İstihsal Endüstrisi A.Ş.,600,Cancelled,non-EU Europe,Turkey,İzmir,38.77273,26.94599,Habaş Group
G104927,İzdemir Enerji power station Unit 1,İzdemir Enerji power station,http://bit.ly/1worgZ4,İzdemir Enerji Elektrik Üretim A.Ş.,350,Operating,non-EU Europe,Turkey,İzmir,38.74173,26.92917,İDÇ Steel
G113786,İzdemir Enerji power station Unit 2,İzdemir Enerji power station,http://bit.ly/1worgZ4,İzdemir Enerji Elektrik Üretim A.Ş.,350,Cancelled,non-EU Europe,Turkey,İzmir,38.74173,26.92917,İDÇ Steel
G102694,Kınık power station,Kınık power station,http://bit.ly/2LhYy82,Polyak Eynez Enerji Üretim Madencilik Sanayi ve Ticaret,691,Pre-Permit,non-EU Europe,Turkey,İzmir,39.084,27.45,Polyak Eynez Enerji Üretim Madencilik Sanayi ve Ticaret
G107944,Petkim power station,Petkim power station,http://bit.ly/1MmT2Mw,Socar Power Enerji,205,Cancelled,non-EU Europe,Turkey,İzmir,38.795,26.970278,Socar Group
G112348,Star Refinery Socar power station (Step I and II),Star Refinery Socar power station,http://bit.ly/1kkMQnz,Socar Power Enerji,520,Shelved,non-EU Europe,Turkey,İzmir,38.817,26.9103,State Oil Company of Azerbaijan (SOCAR)
G100067,Afşin-Elbistan-A power station Unit 1,Afşin-Elbistan-A power station,http://bit.ly/1Pf9EqI,EÜAŞ,340,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.3472108,37.0260017,Çelikler Holding
G100068,Afşin-Elbistan-A power station Unit 2,Afşin-Elbistan-A power station,http://bit.ly/1Pf9EqI,EÜAŞ,340,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.3472108,37.0260017,Çelikler Holding
G100069,Afşin-Elbistan-A power station Unit 3,Afşin-Elbistan-A power station,http://bit.ly/1Pf9EqI,EÜAŞ,340,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.3472108,37.0260017,Çelikler Holding
G100070,Afşin-Elbistan-A power station Unit 4,Afşin-Elbistan-A power station,http://bit.ly/1Pf9EqI,EÜAŞ,340,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.3472108,37.0260017,Çelikler Holding
G100071,Afşin-Elbistan-B power station Unit 1,Afşin-Elbistan-B power station,http://bit.ly/1Pf9EqI,EÜAŞ,360,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.353291,36.9810789,EÜAŞ
G100072,Afşin-Elbistan-B power station Unit 2,Afşin-Elbistan-B power station,http://bit.ly/1Pf9EqI,EÜAŞ,360,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.353291,36.9810789,EÜAŞ
G100073,Afşin-Elbistan-B power station Unit 3,Afşin-Elbistan-B power station,http://bit.ly/1Pf9EqI,EÜAŞ,360,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.353291,36.9810789,EÜAŞ
G100074,Afşin-Elbistan-B power station Unit 4,Afşin-Elbistan-B power station,http://bit.ly/1Pf9EqI,EÜAŞ,360,Operating,non-EU Europe,Turkey,Kahramanmaraş,38.353291,36.9810789,EÜAŞ
G114022,Afşin-Elbistan-C power station,Afşin-Elbistan-C power station,http://bit.ly/1Pf9EqI,EÜAŞ,1800,Pre-Permit,non-EU Europe,Turkey,Kahramanmaraş,38.350818,37.00706,EÜAŞ
G114023,Afşin-Elbistan-D power station,Afşin-Elbistan-D power station,http://bit.ly/1Pf9EqI,EÜAŞ,1200,Announced,non-EU Europe,Turkey,Kahramanmaraş,38.350818,37.00706,EÜAŞ
G114024,Afşin-Elbistan-E power station,Afşin-Elbistan-E power station,http://bit.ly/1Pf9EqI,EÜAŞ,1400,Announced,non-EU Europe,Turkey,Kahramanmaraş,38.350818,37.00706,EÜAŞ
G114025,Afşin-Elbistan-G power station,Afşin-Elbistan-G power station,http://bit.ly/1Pf9EqI,EÜAŞ,1400,Announced,non-EU Europe,Turkey,Kahramanmaraş,38.350818,37.00706,EÜAŞ
G102375,Diler Elbistan power station,Diler Elbistan power station,http://bit.ly/1ov6SDH,Diler Elektrik Üretim,400,Permitted,non-EU Europe,Turkey,Kahramanmaraş,38.16,37.33,Diler Holding
G105432,Kahramanmaraş Anadolu power station,Kahramanmaraş Anadolu power station,http://bit.ly/1NurSZj,Anadolu Enerji,1200,Pre-Permit,non-EU Europe,Turkey,Kahramanmaraş,38.350818,37.00706,Ege Trade
